fy,month,acwi_exUS,IWV,VBTIX
2006,8,0.249401120067334,0.0851265020208496,0.0173595799378263
2007,8,0.225092466041806,0.145754666645262,0.0538403059939014
2008,8,-0.125859853752161,-0.101413485994444,0.0583190380859773
2009,8,-0.144144634572695,-0.186876642430445,0.0815073575970546
2010,8,0.0285379091988465,0.0548122011843859,0.0912089480047695
2011,8,0.103350419833166,0.190139538694253,0.0436683415420323
2012,8,-0.0191748404172504,0.168223371299165,0.0588746153470425
2013,8,0.129806471275461,0.201139815110535,-0.0263330817765568
2014,8,0.177503652916714,0.245853449434051,0.0567566501594874
2015,8,-0.123527025414628,0.00159765775558718,0.012720757204314
2016,8,0.0292142907706801,0.112352198247647,0.0622354517410191
2017,8,0.188775078303564,0.158927852574789,0.00333318538624483
2018,8,0.0318174535355693,0.20044762096926,-0.0117865823303757
2019,8,-0.0326824449936809,0.0111185333022716,0.105075777230589
2020,8,0.0831490234549186,0.211535637083024,0.0634239556474665
2021,8,0.248679535789417,0.328856668026809,0.00087629378518117
2000,9,,,
2001,9,,-0.284237953905938,0.130387470088667
2002,9,-0.13319135660124,-0.194860175302606,0.0656591053326998
2003,9,0.285061500422522,0.262903947021415,0.0411207263897861
2004,9,0.227002606005992,0.142704503329393,0.0360284709260772
2005,9,0.289333955279429,0.147398682744247,0.0286015839938041
2006,9,0.188881704538457,0.0990839685682536,0.0370804466769512
2007,9,0.305399805762383,0.163062111977232,0.0528864670544316
2008,9,-0.303175791964051,-0.204466354709784,0.0390293480155315
2009,9,0.058864142697501,-0.0783851752613691,0.106660242889933
2010,9,0.0756101987725442,0.107995448938322,0.0782877598127671
2011,9,-0.108117566917274,0.00634379328395718,0.0531050515145572
2012,9,0.144831162279011,0.295524557484441,0.0505994448714993
2013,9,0.164781491002571,0.215914808121411,-0.0179926558190695
2014,9,0.0476873600908032,0.174401646483075,0.039159417301283
2015,9,-0.121623858318663,-0.00716051781413107,0.027739361413927
2016,9,0.09256086976383,0.148509179360234,0.0533135372188149
2017,9,0.196098004578286,0.185355581350756,-0.00111916016169378
2018,9,0.0176265735671308,0.173452613157655,-0.011897810051345
2019,9,-0.0122889052053947,0.0279034614624933,0.104494956906219
2020,9,0.0300176932674292,0.145861946255381,0.0706351011581676
2021,9,0.23915740959584,0.318015622041679,-0.00902468230150388
2000,10,,,
2001,10,,-0.251174742166191,0.14498949594041
2002,10,-0.11166675463134,-0.147910591543588,0.0397910309088434
2003,10,0.298700334199777,0.234765834222437,0.0374196140085865
2004,10,0.192394350088637,0.0976181499878934,0.0549200316535763
